video_id,text,community_label
yM3TO6OkPws,"Trump Was RIGHT And Project Veritas Proved It, MASSIVE Voter Fraud Uncovered In BOMBSHELL Report",2
OT4FSciSIo0,Sidney Powell says she has evidence of fake ballots; AZ lawmakers call for Dominion machines audit,2
DSDZkXxFVEU,🔴 LIVE: Pennsylvania State Legislature Holds Public Hearing on 2020 Election,2
96-BQaIVOpc,LIVE UPDATES: Democrats Try to Steal Election!? | Good Morning #MugClub,2
JYta8Pr-hKE,Cyber election fraud | Lt  General Thomas McInerney,2
WGRnhBmHYN0,"Joe Biden says he's built most extensive ""voter fraud"" org in history",2
KAQHXf60uRo,"Secretary of State Pompeo: ""There will be a smooth transition to a second Trump administration.""",2
Xqcwzi8Onsk,NO RETREAT! America Is About To #StopTheSteal | Good Morning #MugClub,2
QN6rzCWXPl8,Media ‘wilfully misleads’ public on Trump’s voter fraud claims,2
T91l2Yf4lNU,VOTER FRAUD CAUGHT ON TAPE? #CashforBallots--Tom Fitton w/ James O'Keefe,2
StoSQ-k67gE,Trump Investigates Election Voter Fraud | Spitting Image,0
4k2WZMsbQLI,"""WELCOME FRAUD"" Kayleigh McEnany Says Democrats Committed Election Fraud Against President Trump",2
hAbMnv_dt2w,"FEC Chair Calls Election Illegitimate Due To Fraud, MORE Evidence Of Widespread Irregularity Drops",2
Id3ndmnaAR0,Live Q&A: 30 Allegations of Election Fraud In Sidney Powell Lawsuit | Crossroads,2
kIVmw3zfBP0,LIVE: 'Election Fraud Truth Summit' featuring Trump campaign lawyer and experts (Dec. 8) | NTD,2
mt4yN_FPGS8,Sidney Powell's 30 claims of voter fraud in Georgia lawsuit; GOP flips 3rd House seat in California,2
4DDFDW3TvFU,President Trump's Explosive Tweet About The Election Fraud,2
G2f3aw9rk30,Rudy Giuliani’s Star Voter Fraud Witness at Michigan Hearing | NowThis,2
FVyHw-85mIo,GA Governor Orders BALLOT AUDIT after SHOCKING VIDEO EVIDENCE of FRAUD Emerges!!!,2
_MNt7R_czas,"Former U.S. Attorney, Joe diGenova, on the Growing Evidence of Voter Fraud",2
BRZEs9BRGK4,Biden Brags About Having The “Most Extensive...Voter Fraud Organization” In History,2
wfTvvsnGtVg,Detroit poll watcher explains concerns; Protesters demand a free and fair election | NTD,2
jiG7joubaiQ,105% Voter Turnout in Milwaukee District; Voter Fraud Hearings in PA; New Lawsuits in 2 States,2
UtxJ5W8YDDE,Richard Baris: Evidence of Voter Fraud Disappears From State Networks | Crossroads,2
oSv0xatwQSw,2 charged with voter fraud; Dominion council member in DHS; Tesla to Join S&P 500 | NTD Business,2
p2MkvWh7poY,Leigh Dundas - Executive order for election interference,2
ficae6x1Q5A,Interview with Source on Electronic Vote Fraud,2
YIL3M8xasAY,#burntheballot burn the 2nd ballot #corruption #trump #biden #california #cdfa #chp #chadbianco #rso,0
FKgDcnay6oA,「我々はトランプ大統領を支持する」BLACK VOICES FOR TRUMP（黒人のトランプ支持者団体） #StopTheSteal,3
kClthYmd0KE,Trump’s key “election fraud whistleblower” falls on her face on Fox News,0
YzoLcnDbK1E,"HARD Evidence Of Widespread Fraud Announced By Voter Audit Group, Media And Democrats STILL Deny It",2
